teamId,teamName,matches,total_xG,avg_xG,total_xG_open_play,avg_xG_open_play,total_xG_set_play,avg_xG_set_play,total_xG_non_penalty,avg_xG_non_penalty,total_xGOT,avg_xGOT,mean_ball_possession,fouls,accurate_passes,accurate_long_passes,accurate_crosses,ground_duels_won,aerial_won,dribbles_succeeded,goals,big_chances,big_chances_missed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,own_half_passes,opposition_half_passes,throws,touches_opp_box,offsides,tackles_won,interceptions,blocks,clearances,keeper_saves,duel_won,yellow_cards,red_cards
8256,Brazil,5,11.67,2.334,9.61,1.922,0.5,0.1,10.1,2.02,11.969999999999999,2.3939999999999997,53.0,2379,2379,88,17,180,56,35,10,149,21,8.0,74,25,30,19,2,53,21,2657,1095,1284,81,149,11,93,48,13,100,14,236,8,0
6395,Senegal,4,8.83,2.2075,6.83,1.7075,2.49,0.6225,8.44,2.11,8.11,2.703333333333333,55.25,1911,1911,119,21,137,59,36,10,121,16,3.0,69,32,23,14,4,41,28,2215,828,1083,86,121,10,54,31,14,76,12,196,3,0
6723,France,8,17.44,2.18,13.899999999999999,1.7374999999999998,3.86,0.4825,15.97,1.99625,18.09,2.584285714285714,55.875,3750,3750,156,19,263,93,77,20,249,33,6.0,139,52,59,28,5,78,61,4259,1483,2267,109,249,14,116,69,18,132,13,356,6,0
6595,Turkiye,3,6.54,2.18,5.050000000000001,1.6833333333333336,1.49,0.49666666666666665,6.54,2.18,4.43,1.4766666666666666,65.66666666666667,1529,1529,71,10,126,44,27,3,123,12,2.0,71,29,16,26,2,38,33,1767,528,1001,86,123,7,61,19,8,82,8,170,2,0
8570,Germany,4,8.27,2.0675,6.33,1.5825,1.1400000000000001,0.28500000000000003,7.48,1.87,10.38,2.595,65.25,2350,2350,73,24,156,49,36,11,158,16,3.0,74,21,28,25,1,47,27,2656,836,1514,79,158,4,78,27,9,62,5,205,3,0
6720,Spain,8,15.629999999999999,1.9537499999999999,12.24,1.53,2.58,0.3225,14.85,1.85625,16.26,2.0325,63.875,4780,4780,165,32,271,99,59,14,271,24,6.0,140,54,54,32,4,81,59,5326,2009,2771,135,271,21,127,63,13,135,10,370,6,0
5810,Canada,5,9.73,1.9460000000000002,6.6000000000000005,1.32,3.11,0.622,9.73,1.9460000000000002,10.55,2.1100000000000003,54.4,1666,1666,76,37,183,80,33,9,216,16,11.0,80,25,31,24,1,58,22,2061,561,1105,127,216,7,79,36,3,69,6,263,11,0
6706,Argentina,8,14.66,1.8325,9.03,1.12875,3.26,0.4075,12.3,1.5375,15.55,1.94375,57.625,4563,4563,147,33,322,80,66,19,202,22,13.0,114,44,44,26,6,66,48,5111,2124,2439,139,202,22,159,80,19,185,20,402,13,1
8263,Belgium,6,10.83,1.805,7.49,1.2483333333333333,2.55,0.425,10.05,1.675,11.4,1.9000000000000001,51.0,2563,2563,121,32,208,92,56,14,221,15,6.0,112,44,34,34,2,77,35,3026,1156,1407,118,221,8,85,49,17,144,16,300,6,1
8491,England,8,14.34,1.7925,9.4,1.175,2.57,0.32125,11.97,1.49625,19.78,2.4725,54.125,3454,3454,145,43,327,102,86,20,235,33,8.0,118,37,53,28,2,89,29,3897,1650,1804,130,235,15,127,50,25,188,20,429,8,1
8492,Norway,6,10.040000000000001,1.6733333333333336,7.1,1.1833333333333333,2.16,0.36000000000000004,9.25,1.5416666666666667,9.97,1.6616666666666668,52.166666666666664,2630,2630,124,22,177,84,38,13,143,22,3.0,66,21,29,16,2,53,13,3042,1422,1208,114,143,5,99,43,15,140,21,261,3,0
6717,Switzerland,6,9.68,1.6133333333333333,6.91,1.1516666666666666,1.2,0.19999999999999998,8.1,1.3499999999999999,7.8100000000000005,1.3016666666666667,53.833333333333336,2712,2712,144,16,218,84,45,10,157,16,6.0,74,25,30,19,0,50,24,3148,1336,1376,121,157,13,86,51,18,160,20,302,6,1
8258,Colombia,5,7.42,1.484,6.05,1.21,1.37,0.274,7.42,1.484,6.9,1.3800000000000001,57.6,2388,2388,147,20,154,54,27,5,125,15,8.0,94,39,30,25,4,57,37,2737,1182,1206,83,125,19,64,40,14,100,6,208,8,0
6707,Ecuador,4,5.87,1.4675,3.54,0.885,2.34,0.585,5.87,1.4675,4.56,1.14,55.75,1653,1653,66,21,143,50,28,2,98,10,8.0,53,25,20,8,5,36,17,1924,736,917,72,98,2,77,38,11,84,9,193,8,1
5796,Uruguay,3,4.24,1.4133333333333333,2.98,0.9933333333333333,1.26,0.42,4.24,1.4133333333333333,3.4299999999999997,1.1433333333333333,55.0,1188,1188,62,21,95,45,22,3,87,5,5.0,49,21,13,15,2,27,22,1424,415,773,66,87,14,44,31,6,42,4,140,5,1
6262,Morocco,6,8.459999999999999,1.41,7.63,1.2716666666666667,0.8400000000000001,0.14,8.459999999999999,1.41,9.52,1.5866666666666667,59.0,3137,3137,97,18,253,57,62,10,121,17,7.0,69,25,26,18,3,42,27,3575,1775,1362,115,121,9,104,44,20,138,15,310,7,0
6709,Ivory Coast,4,5.55,1.3875,4.96,1.24,0.59,0.1475,5.55,1.3875,5.59,1.3975,49.75,1661,1661,84,17,155,44,46,5,130,10,4.0,45,22,14,9,1,29,16,1926,875,786,74,130,4,74,40,13,85,9,199,4,0
6708,Netherlands,4,5.48,1.37,4.18,1.045,1.3,0.325,5.48,1.37,8.73,2.1825,53.0,1755,1755,65,20,113,66,18,11,114,6,3.0,46,14,22,10,1,36,10,1991,691,1064,76,114,8,53,36,5,86,16,179,3,0
7804,South Korea,3,4.109999999999999,1.3699999999999999,3.52,1.1733333333333333,0.5900000000000001,0.19666666666666668,4.109999999999999,1.3699999999999999,4.24,1.4133333333333333,62.666666666666664,1598,1598,82,15,88,60,23,2,53,8,4.0,32,13,11,8,0,21,11,1838,827,771,75,53,8,36,18,5,60,9,148,4,0
8361,Portugal,5,6.82,1.364,4.07,0.8140000000000001,1.96,0.392,6.04,1.208,7.66,1.532,58.2,2581,2581,126,23,176,51,49,8,108,13,7.0,62,29,17,16,2,39,23,2865,1201,1380,74,108,10,68,33,17,90,19,227,7,0
