matchId,matchRound,homeTeamName,homeTeamid,awayTeamName,awayTeamid,home_goals,away_goals,ball_possession_home,ball_possession_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,fouls_home,fouls_away,corners_home,corners_away,total_shots_home,total_shots_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,blocked_shots_home,blocked_shots_away,hit_woodwork_home,hit_woodwork_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,xG_home,xG_away,xG_open_play_home,xG_open_play_away,xG_set_play_home,xG_set_play_away,xG_non_penalty_home,xG_non_penalty_away,xGOT_home,xGOT_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,own_half_passes_home,own_half_passes_away,opposition_half_passes_home,opposition_half_passes_away,accurate_long_passes_home,accurate_long_passes_away,accurate_crosses_home,accurate_crosses_away,throws_home,throws_away,touches_opp_box_home,touches_opp_box_away,offsides_home,offsides_away,tackles_won_home,tackles_won_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,keeper_saves_home,keeper_saves_away,duel_won_home,duel_won_away,ground_duels_won_home,ground_duels_won_away,aerial_won_home,aerial_won_away,dribbles_succeeded_home,dribbles_succeeded_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away
4667751,1,Mexico,6710,South Africa,6316,2,0,60,40,20,2,2,0,467 (90%),272 (81%),1,2,16,3,7,1,4,2,5,0,1,0,9,1,7,2,1.46,0.07,1.14,0.06,0.32,0.01,1.46,0.07,1.28,0.13,520,334,467 (90%),272 (81%),279,198,188,74,31 (65%),17 (37%),4 (33%),1 (13%),21,11,20,2,1,1,12,14,8,7,0,5,15,17,2,2,47,33,32 (55%),26 (45%),15 (68%),7 (32%),9 (60%),1 (17%),1,2,1,2
4667752,1,South Korea,7804,Czechia,8496,2,1,62,38,24,12,4,1,469 (87%),230 (70%),1,,15,7,5,3,6,4,4,0,0,0,10,5,5,2,2.30,0.83,2.21,0.20,0.09,0.63,2.30,0.83,2.06,2.07,541,327,469 (87%),230 (70%),213,99,256,131,30 (49%),23 (33%),3 (25%),3 (20%),26,16,24,12,2,2,7,9,9,6,0,4,32,21,3,4,56,38,29 (57%),22 (43%),27 (63%),16 (37%),8 (57%),4 (57%),1,0,0,0
4667757,1,Canada,5810,Bosnia and Herzegovina,10106,1,1,61,39,38,14,2,2,310 (74%),170 (63%),2,3,13,8,5,4,4,3,4,1,1,0,10,5,3,3,1.25,0.98,0.99,0.02,0.25,0.97,1.25,0.98,0.74,1.00,417,268,310 (74%),170 (63%),124,90,186,80,19 (44%),18 (29%),5 (21%),6 (60%),32,26,38,14,1,0,23,21,4,10,0,6,21,71,2,1,70,79,50 (58%),36 (42%),20 (32%),43 (68%),7 (47%),5 (23%),2,3,0,0
4667771,1,USA,6713,Paraguay,6724,4,1,65,35,53,11,4,1,509 (85%),232 (73%),1,5,16,9,6,3,6,1,4,5,0,0,13,4,3,5,1.42,0.54,1.36,0.24,0.06,0.29,1.42,0.54,2.54,0.42,598,319,509 (85%),232 (73%),232,164,277,68,26 (54%),20 (34%),3 (16%),0 (0%),23,17,53,11,2,1,9,21,9,10,3,4,15,33,0,3,65,55,47 (55%),39 (45%),18 (53%),16 (47%),22 (63%),6 (60%),1,5,0,0
4667758,1,Qatar,5902,Switzerland,6717,1,1,32,68,8,42,1,6,200 (72%),527 (91%),2,1,6,26,3,10,3,7,0,9,0,0,4,18,2,8,0.60,3.20,0.52,1.72,0.08,0.69,0.60,2.41,0.46,1.78,278,576,200 (72%),527 (91%),132,159,68,368,19 (30%),27 (77%),1 (11%),6 (17%),14,17,8,42,0,1,14,8,11,7,9,0,31,13,5,3,36,37,26 (49%),27 (51%),10 (50%),10 (50%),2 (50%),7 (54%),2,1,0,0
4667764,1,Brazil,8256,Morocco,6262,1,1,51,49,22,13,1,2,449 (87%),419 (86%),2,,12,14,4,5,5,3,3,6,0,0,9,7,3,7,1.26,1.37,1.03,1.23,0.23,0.14,1.26,1.37,1.38,0.74,514,486,449 (87%),419 (86%),249,198,200,221,18 (50%),17 (33%),4 (25%),2 (13%),17,13,22,13,0,1,23,26,5,5,6,3,23,17,2,4,53,62,41 (41%),58 (59%),12 (75%),4 (25%),5 (19%),16 (55%),2,0,0,0
4667765,1,Haiti,5934,Scotland,8498,0,1,54,46,22,21,1,2,367 (85%),307 (82%),1,3,15,9,9,5,2,2,4,2,0,1,8,8,7,1,1.05,1.05,0.99,1.05,0.06,0.00,1.05,1.05,0.22,1.18,431,374,367 (85%),307 (82%),163,196,204,111,26 (44%),30 (52%),5 (22%),5 (36%),14,23,22,21,3,1,12,12,6,6,2,4,20,17,1,2,51,59,38 (50%),38 (50%),13 (38%),21 (62%),6 (43%),5 (38%),1,3,0,0
4667772,1,Australia,6716,Turkiye,6595,2,0,28,72,18,51,1,2,201 (74%),635 (90%),,1,9,30,4,10,4,8,1,12,0,1,6,14,3,16,1.18,1.36,0.53,1.12,0.65,0.24,1.18,1.36,1.08,1.46,271,704,201 (74%),635 (90%),132,179,69,456,16 (28%),19 (68%),4 (29%),2 (8%),14,24,18,51,1,3,15,12,7,4,12,1,55,29,8,2,42,46,27 (48%),29 (52%),15 (47%),17 (53%),8 (73%),5 (36%),0,1,0,0
4667777,1,Germany,8570,Curacao,287981,7,1,65,35,63,10,6,0,554 (87%),282 (82%),,,26,8,6,6,12,2,8,0,1,0,21,4,5,4,4.22,0.41,2.99,0.23,0.44,0.18,3.43,0.41,5.24,0.50,637,343,554 (87%),282 (82%),193,170,361,112,12 (48%),17 (39%),5 (42%),2 (29%),17,9,63,10,0,1,19,16,12,16,0,9,8,25,1,4,47,50,38 (46%),45 (54%),9 (64%),5 (36%),9 (50%),12 (57%),0,0,0,0
4667783,1,Netherlands,6708,Japan,6715,2,2,60,40,33,19,0,0,463 (88%),286 (84%),3,,10,10,3,6,6,3,1,1,0,0,10,6,0,4,0.78,0.59,0.33,0.40,0.45,0.19,0.78,0.59,2.16,1.32,524,341,463 (88%),286 (84%),154,118,309,168,16 (46%),13 (36%),8 (38%),6 (26%),21,19,33,19,1,0,11,11,7,4,0,1,23,32,1,4,46,28,25 (54%),21 (46%),21 (75%),7 (25%),8 (53%),3 (33%),3,0,0,0
4667778,1,Ivory Coast,6709,Ecuador,6707,1,0,48,52,39,16,2,1,397 (84%),419 (85%),3,1,15,12,8,8,4,1,3,3,1,3,8,5,7,7,1.52,1.01,1.42,0.65,0.10,0.36,1.52,1.01,1.22,0.03,470,492,397 (84%),419 (85%),206,260,191,159,18 (45%),11 (31%),2 (25%),4 (29%),14,14,39,16,0,0,14,21,11,13,3,1,29,18,1,3,58,44,41 (55%),33 (45%),17 (61%),11 (39%),14 (67%),3 (30%),3,1,0,0
